Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
50,newSr. Automation Engineer,Artivatic.ai,,,"Bengaluru, Karnataka","
The goal of an automation tester is to eliminate defects, errors and problems with product or software development and with business or customer service…
",
51,Data Engineer,Delivery Solutions,,,Remote in India,"
Build data systems and pipelines.
Prepare data for ML modeling.
Combine raw information from different sources.
Familiarity with Python (Numpy, Pandas).
",
52,Software Engineer,Sentieo,,,"Remote in New Delhi, Delhi","
You will have a great deal of input and responsibility.
Passion for releasing bug-free code.
Strong coding skills in Python/Java.
Full suite of health benefits.
",
53,newAI/ML Engineer,EY,,,"Bengaluru, Karnataka","
You’ll mentor junior engineers to share your expertise.
The successful candidate will be part of a team building innovative AI solutions that rely on AI and ML…
",
54,newMachine Learning Engineer,Masters India Private Limited,,,"Noida, Uttar Pradesh","
We are looking for Machine Learning Engineers to build and implement Masters India’.
Platform based on the latest open source technologies.
",
55,"newGraduate Intern Technical (Application, AI/ML)",Intel,,,"Bengaluru, Karnataka","
You shall have excellent opportunities to work on cutting edge and contemporary domains/technologies like AI, ML, AutoML, MLOps, Full-stack.
",
56,Analytics Engineer,AlphaSense,,,"Pune, Maharashtra","
In addition to technical leadership, we partner across departments to raise the analytics bar, drive operational improvement, and support growth.
",
57,Head of Data - Risk,GO-JEK,,,"Bengaluru, Karnataka","
As the Head of Data (HoD) for Risk you will serve as the single point of contact to Gojek's Risk organisation for all data related functions.
",
58,newSenior AI/ML Engineer,Vehere,,,"Kolkata, West Bengal","
Our groundbreaking technology, services delivery, and intelligence gathering together with our innovations in machine learning and behavioral-based detection,…
",
59,Deep Learning Engineer,drivebuddyAI,,,Remote,"
Building a scalable AI algorithm for object detection, tracking for ADAS & Autonomy applications.
Understand the requirements, datasets availability,…
",
60,AI / ML Developer,GarudaUAV Soft Solutions Pvt. Ltd.,,,"Noida, Uttar Pradesh","
To configure and develop image regression model based on drone imaging.
Should be able to analyze drone images for industrial complex like power plants, power…
",
61,Senior Engineer - Model Based Controls,GE Corporate,,,"Bengaluru, Karnataka","
We are looking for highly motivated people with proven track record to conduct research in control system design, real time optimization, first principles…
",
62,Data Engineer: Data Integration,IBM,,,"Kolkata, West Bengal+8 locations","
To think along with clients and sell.
Designs and builds solutions to move data from operational and external environments to the business intelligence…
",
63,newAdvisory Research Engineer,IBM,,,"Bengaluru, Karnataka","
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",
64,AI and Machine Learning,RADcube,,,"Hyderabad, Telangana","
A machine learning engineer (ML engineer) focuses on researching, building and designing self-running artificial intelligence (AI) systems to automate…
",
65,Electrical Engineer (Transmission Line Inspection/AI Analyse...,Sky Technologies,,,"Nagpur, Maharashtra","
Proven expertise as an electrical engineer.
(Kindly note do not call on Google no. instead call on 7.0.6.6.0.9.9.9.9.4)Electrical Engineer (Transmission Line…
",
66,Engineer -AMS layout,Cyient,,,"Hyderabad, Telangana+1 location","
Experience of 3 years to 5 years in Analog / Mixed Signal /SERDES Layout.
Able to execute independently on any Analog / Mixed Signal module layout activity (i.e…
",
67,newRTL Engineer,Cyient,,,"Bengaluru, Karnataka","
RTL, microarchitecture, and architecture experience on advanced microprocessors and/or SOCs.
Experience with clocking and reset methodologies.
",
68,Data Engineer,Mercedes-Benz Research and Development India...,,,"Bengaluru, Karnataka","
We focus on topics ranging from computer-aided design and simulations (CAD, CAE) for powertrain, chassis and exteriors to embedded systems, telematics and…
",
69,AI/ML Engineer,Zeidler Legal Process Outsourcing,,,"Mumbai, Maharashtra","
As an AI/ML Engineer, you will be responsible for solving a wide range of problems from natural language processing to timeseries prediction.
",
70,Computer Vision Engineer,AgNext,,,"Chandigarh, Chandigarh","
AgNext, an award winning venture capital backed company lead by IIT/IIM professionals, develops innovative data driven solutions for Agriculture and Food…
",
71,newWorkflow Analyst,Deutsche Bank,,,"Bengaluru, Karnataka","
According to the severity, the AVP will engage the senior developers , platform engineers and laisse with interface application IT and RPA CoE to resolve the…
",
72,Machine Learning Engineer,JMS ADVISORY SERVICES PVT.LTD,,,"Pune, Maharashtra+1 location","
AI/ML engineer, Data Science Professional.
Proficiency with a deep learning framework such as TensorFlow or Keras.
Proficiency with OpenCV,AWS etc.
",
73,Machine Learning Engineer,Anzy Careers Private Limited,,,"Bengaluru, Karnataka","
BTech/ MTech in Computer Science or Electronics or equivalent experience.
4-8 years of relevant working experience.
Experience of working on Linux systems.
",
74,AI Applications Support Engineer,IBM,,,"Ahmedabad, Gujarat+1 location","
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",
75,newTechnical Content Writer,QuillHash Technologies Pvt Ltd,,,"Temporarily Remote in Gurgaon, Haryana","
We provide complete end- to- end solutions and even help companies in research- based projects that require engineers and manpower that can approach a problem…
",
76,newDeep Learning Engineers,Conxai Technologies GmbH,,,"Bengaluru, Karnataka","
We are building the first NO-CODE AI PLATFORM for the AEC industry, with the 3rd generation AI, that allows users to create complex use cases with zero coding…
",
